Datetime,Type,Ticker,Fullname,Positions,Share Price,Book Value,Category
2024-12-02 20:00:24,Assets,DOGE-USD,DOGE,89986.0,3.075259834930677,276730.33150607185,Crypto to the Mars
2024-12-02 20:00:24,Assets,IBKR,Interactive Brokers,4.0653,1350.1534940678102,5488.778999433868,Investments in US
2024-12-02 20:00:24,Assets,SOXL,SOXL,4.0,219.5962847872925,878.3851391491698,Investments in US
2024-12-02 20:00:24,Assets,VOO,Vanguard S&P 500 ETF,30.0,4035.6997710362775,121070.99313108833,Investments in US
2024-12-02 20:00:24,Assets,KYS,Loan to KangYanSong,2744105.0,1.0,2744105.0,Loans Receivables
2024-12-02 20:00:24,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-12-02 20:00:24,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-12-02 20:00:24,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-12-02 20:00:24,Assets,Cash-CNY,Cash in CNY,1480000.0,1.0,1480000.0,Cash in CNY
2024-12-02 20:00:24,Assets,CNY=X,Cash in USD,250.0,7.271399974822998,1817.8499937057493,Cash in USD
2024-12-02 20:00:24,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-12-02 20:00:24,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-12-03 20:00:04,Assets,512290.SS,BIO ETF,296900.0,0.9520000219345092,282648.8065123558,Investments in CN
2024-12-03 20:00:04,Assets,DELL,Dell Technology,3031.0,914.7422223373724,2772583.675904576,Investments in US
2024-12-03 20:00:04,Assets,AMZN,Amazon,179.0,1554.9744023994135,278340.41802949505,Investments in US
2024-12-03 20:00:04,Assets,BTC-USD,BTC,3.0,698062.5695449077,2094187.708634723,Crypto to the Mars
2024-12-03 20:00:04,Assets,DOGE-USD,DOGE,89986.0,3.013678718917248,271188.8932004875,Crypto to the Mars
2024-12-03 20:00:04,Assets,IBKR,Interactive Brokers,4.0653,1361.5496710609514,5535.107877764085,Investments in US
2024-12-03 20:00:04,Assets,SOXL,SOXL,4.0,216.59195906453715,866.3678362581486,Investments in US
2024-12-03 20:00:04,Assets,VOO,Vanguard S&P 500 ETF,30.0,4044.36142546864,121330.8427640592,Investments in US
2024-12-03 20:00:04,Assets,KYS,Loan to KangYanSong,2744105.0,1.0,2744105.0,Loans Receivables
